Unnamed: 0,Year,Quarter,Month,Day,Aircraft Manufacturer,Aircraft,Location,Operator,Ground,Fatalities (air),Aboard,Country,Date,Weekday
2565,1971,Qtr 3,August,18,Boeing,Boeing Vertol CH 47A (helicopter)66,Near Pegnitz West,Army U.S. - GermanyMilitary,0,37,37,Germany,1971-08-18,Wednesday
2566,1971,Qtr 3,August,19,Unknown,Piper PA 31N595DE,Augusta Maine,Airlines Downeast,0,3,8,USA,1971-08-19,Thursday
2567,1971,Qtr 3,August,28,Ilyushin,Ilyushin IL 18DHA,Off Copenhagen Denmark,Airlines Hungarian Malev,0,32,34,Denmark,1971-08-28,Saturday
2568,1971,Qtr 3,September,4,Boeing,Boeing B 727,Near Juneau Alaska,Airlines Alaska,0,111,111,USA,1971-09-04,Saturday
2569,1971,Qtr 3,September,6,Rohrbach,BAC One Eleven 515FBD,Near Hasloh Germany,International Pan,0,22,121,Germany,1971-09-06,Monday
2570,1971,Qtr 3,September,16,McDonnell Douglas,Douglas DC 34W,Presevo Russia,Airlines Yemen,0,5,5,Russia,1971-09-16,Thursday
2571,1971,Qtr 3,September,16,Tupolev,Tupolev TU 134AHA,Kiev Ukraine,USSRMalev Hungarian Airlines,0,49,49,Ukraine,1971-09-16,Thursday
2572,1971,Qtr 3,September,17,Antonov,Antonov An 14LZ,Rila mountain Bulgaria,Airlines Bulgarian Balkan,0,9,9,Bulgaria,1971-09-17,Friday
2573,1971,Qtr 3,September,28,McDonnell Douglas,Douglas DC 3PP,Sena Madureira Brazil,Cruzeiro,0,32,32,Brazil,1971-09-28,Tuesday
2574,1971,Qtr 4,October,2,Vickers,Vickers Vanguard 951G APEC,Near Aarsele West,Belgium          Vlaanderen British European Airways,0,63,63,Belgium,1971-10-02,Saturday
2575,1971,Qtr 4,October,10,Tupolev,Tupolev TU 104BCCCP,Moscow Russia,Aeroflot,0,25,25,Russia,1971-10-10,Sunday
2576,1971,Qtr 4,October,16,Cessna,Cessna 402N3250Q,Colorado City Arizona,Lines Air Scenic,0,10,10,USA,1971-10-16,Saturday
2577,1971,Qtr 4,October,17,McDonnell Douglas,Douglas C 47AHK,San Vicente del Caguan Colombia,TAO Aerolineas,0,19,21,Colombia,1971-10-17,Sunday
2578,1971,Qtr 4,October,21,Beechcraft,Beech E18SN51CS,Peoria Illinois,Airlines Southern and Chicago,0,16,16,USA,1971-10-21,Thursday
2579,1971,Qtr 4,October,23,McDonnell Douglas,Douglas C 47?,Near Qui Nhon South,Force Air Vietnamese - VietnamMilitary,0,22,23,Vietnam,1971-10-23,Saturday
2580,1971,Qtr 4,October,24,Beechcraft,Beechcraft B99N986MA,Bath Pennsylvania,Airways Monmouth,0,4,8,USA,1971-10-24,Sunday
2581,1971,Qtr 4,November,9,Lockheed Martin,Lockheed C 130K HerculesXV216,Off Livorno Italy,Force Air Royal - Military,0,52,52,Italy,1971-11-09,Tuesday
2582,1971,Qtr 4,November,10,Vickers,Vickers Viscount 828PK MVS,Off Padang Indonesia,Airlines Nusantara Merpati,0,69,69,Indonesia,1971-11-10,Wednesday
2583,1971,Qtr 4,November,12,Antonov,Antonov AN 24CCCP,Vinnitsa Russia,Aeroflot,0,48,48,Russia,1971-11-12,Friday
